nodes,runtime,partition_gurobi,partition_dac,cost_gurobi,cost_dac,dac_subgraph_size,num_layers
56,16.15924072265625,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",10101111001000001100001011101011111001010101011000110111,76,56,18,4
56,31.555118322372437,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",00101111010100001100010011011011011101111011100111000111,76,56,18,5
56,42.769821643829346,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",00100011010100001100111011101010101001111011100111000111,76,64,18,7
60,16.182846069335938,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",100010010010111011111110110010101101001000011101000001001101,82,64,20,3
60,26.515162467956543,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",100010010010111011111110110010101101001001100011001011110101,82,63,20,4
60,46.55654525756836,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",100010010010111011110001011110100100111101100011001011110101,82,59,20,5
60,45.53318691253662,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",101000101101001000111100101001110010000101100011001011110101,82,59,20,6
60,50.20441651344299,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",101000110000011100110111010001111101110001110011000011100111,82,54,20,7
64,32.22940373420715,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",0001010111100011110011101000011010111000001100010001100111100001,87,62,21,3
64,28.81588625907898,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",0100111101111010010001010001000011110110010000011010111000110011,87,57,21,4
64,77.96315956115723,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",0010111101111010010000010111100101000101100010111010111000110011,87,69,21,5
64,66.42240047454834,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",1100110010111101001100100101010101010101001001000101001111001001,87,65,21,6
64,98.35309600830078,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",0001001101100010110011101010101010101000111001000101001111001001,87,64,21,7
68,39.436939001083374,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",00000111010111010110110111001010110001101001110110110110001100010011,91,68,22,3
68,44.703293561935425,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",11101010101010101001100101101010110001101001111000011100100101010111,91,66,22,4
68,115.04026699066162,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",01001110010111011100011010010101011000000110010110100101100000011011,91,74,22,5
68,116.7707736492157,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",01100110011011001101100100001010110001101001001111100001110010101011,91,74,22,6
68,174.82061314582825,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",11111000101000101001100110101010100111111001100101011011011011100111,91,67,22,7
72,162.11921572685242,"[{0, 4, 6, 8, 11, 12, 13, 14, 18, 20, 21, 22, 23, 25, 26, 27, 28, 30, 34, 36, 37, 43, 46, 48, 49, 50, 54, 56, 57, 58, 61, 62, 64, 65, 68, 69}, {1, 2, 3, 5, 7, 9, 10, 15, 16, 17, 19, 24, 29, 31, 32, 33, 35, 38, 39, 40, 41, 42, 44, 45, 47, 51, 52, 53, 55, 59, 60, 63, 66, 67, 70, 71}]",111111101000000010000100101011011011000100000010010011110100100111001111,100,70,24,4
